ID,Departamento,Categoria_Planta,Tipo_Planta,Temperatura_C,Humedad_Relativa_pct,Horas_Luz_Solar,pH_Suelo,Tipo_Suelo,Fertilidad_Suelo,Crecimiento_cm_semana,Cond_Temperatura,Cond_Humedad,Cond_Luz_Solar,Cond_pH,Cond_Suelo,Cond_Fertilidad,Condiciones_Optimas_Total,Estado_Crecimiento
4258,Cundinamarca,Planta Tropical,Café,13.0,55.4,2.3,5.83,Franco,Media,26.45,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
4259,Magdalena,Planta Tropical,Caña de azúcar,19.7,67.2,11.8,5.05,Franco,Alta,62.09,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
4260,Magdalena,Hortaliza,Lechuga,13.1,59.6,8.1,5.64,Limoso,Media,54.96,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
4261,Santander,Planta Tropical,Yuca,19.0,37.2,11.2,5.66,Limoso,Baja,17.43,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
4262,Sucre,Planta Tropical,Palma,19.9,72.2,8.8,6.71,Franco,Baja,30.26,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Baja,3,Regular
4263,Cundinamarca,Hortaliza,Pimentón,18.4,59.7,13.9,7.4,Limoso,Alta,10.36,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
4264,Nariño,Hortaliza,Pimentón,33.2,85.1,12.2,5.64,Franco,Alta,4.22,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Malo
4265,Córdoba,Hortaliza,Cebolla,10.0,37.6,10.2,7.87,Limoso,Media,40.88,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,3,Regular
4266,Meta,Cultivo Agrícola,Papa,11.1,94.5,11.0,6.48,Franco-Arcilloso,Media,31.31,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
4267,Antioquia,Hortaliza,Pepino,15.0,84.2,9.1,5.94,Limoso,Media,41.33,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
4268,Cundinamarca,Cultivo Agrícola,Papa,20.1,61.5,9.3,6.1,Arenoso,Media,59.86,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
4269,Córdoba,Planta Tropical,Palma,25.0,66.3,6.9,5.2,Arenoso,Alta,12.52,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
4270,Meta,Planta Tropical,Cacao,16.7,67.0,3.5,6.12,Arenoso,Baja,5.33,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,1,Malo
4271,Tolima,Cultivo Agrícola,Maíz,16.2,51.3,12.8,7.44,Arenoso,Media,5.22,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
4272,Valle del Cauca,Planta Tropical,Café,18.1,57.1,2.8,6.67,Arenoso,Baja,10.08,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Baja,1,Malo
4273,Antioquia,Hortaliza,Cebolla,26.6,57.8,10.2,6.61,Arenoso,Baja,26.02,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Baja,3,Regular
4274,Antioquia,Cultivo Agrícola,Sorgo,22.8,71.9,5.3,6.94,Franco-Arcilloso,Baja,12.72,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
4275,Magdalena,Planta Tropical,Cacao,26.6,79.4,7.7,6.89,Arenoso,Alta,36.55,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
4276,Boyacá,Cultivo Agrícola,Frijol,18.4,64.7,11.3,5.65,Arenoso,Media,5.59,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Malo
4277,Valle del Cauca,Planta Tropical,Café,30.0,76.8,9.5,7.0,Franco-Arcilloso,Media,17.99,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
4278,Bolívar,Cultivo Agrícola,Sorgo,30.4,68.4,9.3,5.19,Franco-Arcilloso,Baja,28.37,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Baja,4,Bueno
4279,Magdalena,Planta Tropical,Café,17.2,89.9,2.7,6.87,Arenoso,Media,23.98,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
4280,Valle del Cauca,Cultivo Agrícola,Arroz,22.1,85.4,3.9,5.4,Franco,Media,48.71,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Bueno
4281,Meta,Cultivo Agrícola,Papa,19.6,66.5,8.6,6.67,Franco-Arcilloso,Media,37.08,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Bueno
4282,Meta,Hortaliza,Tomate,21.3,81.7,9.2,6.92,Arenoso,Baja,22.03,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Baja,3,Regular
4283,Boyacá,Cultivo Agrícola,Papa,24.1,63.4,8.7,4.74,Limoso,Alta,57.26,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
4284,Boyacá,Cultivo Agrícola,Arroz,30.1,90.8,6.0,6.26,Limoso,Baja,73.28,Óptima,Óptima,Óptima,Óptima,Óptima,Baja,5,Excelente
4285,Antioquia,Cultivo Agrícola,Sorgo,23.8,34.8,8.0,5.87,Franco,Baja,13.35,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
4286,Antioquia,Cultivo Agrícola,Papa,4.6,45.5,7.3,6.95,Arcilloso,Alta,15.12,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,2,Malo
4287,Huila,Hortaliza,Pimentón,32.4,63.1,10.2,6.08,Franco,Baja,21.92,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Bueno
4288,Huila,Cultivo Agrícola,Papa,18.1,53.2,6.1,6.33,Franco,Baja,11.69,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Baja,4,Bueno
4289,Santander,Hortaliza,Tomate,23.9,49.5,10.7,6.51,Franco-Arcilloso,Alta,34.86,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
4290,Boyacá,Hortaliza,Tomate,13.0,69.4,11.5,6.07,Franco,Media,16.3,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
4291,Huila,Cultivo Agrícola,Maíz,18.0,36.1,6.4,5.77,Arenoso,Media,23.06,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
4292,Magdalena,Cultivo Agrícola,Arroz,28.6,73.0,5.9,6.56,Franco,Alta,60.03,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Bueno
4293,Cundinamarca,Planta Tropical,Palma,29.3,81.6,13.1,6.83,Arenoso,Media,49.18,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Bueno
4294,Bolívar,Hortaliza,Pepino,17.5,85.7,11.8,6.93,Franco,Baja,6.36,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
4295,Meta,Cultivo Agrícola,Frijol,21.3,75.0,11.2,5.65,Arcilloso,Media,33.33,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
4296,Bolívar,Cultivo Agrícola,Sorgo,26.1,53.1,13.5,7.81,Limoso,Media,39.62,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Regular
4297,Magdalena,Cultivo Agrícola,Papa,23.4,81.5,12.6,6.69,Arenoso,Media,7.0,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Regular
4298,Córdoba,Cultivo Agrícola,Sorgo,18.7,55.1,13.1,7.39,Limoso,Alta,48.86,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
4299,Magdalena,Planta Tropical,Yuca,34.8,52.8,7.3,4.98,Franco-Arcilloso,Media,6.91,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Bueno
4300,Meta,Hortaliza,Tomate,12.2,61.8,8.2,7.16,Arenoso,Media,11.22,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Regular
4301,Córdoba,Hortaliza,Zanahoria,26.4,59.5,5.3,5.65,Franco,Alta,45.75,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
4302,Nariño,Cultivo Agrícola,Sorgo,36.8,36.7,7.6,5.52,Limoso,Baja,39.98,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
4303,Nariño,Planta Tropical,Cacao,21.3,95.8,3.7,5.35,Franco,Alta,29.14,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
4304,Meta,Hortaliza,Cebolla,9.7,78.1,10.9,7.88,Arenoso,Media,20.71,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,2,Malo
4305,Meta,Cultivo Agrícola,Papa,19.1,68.7,7.9,6.04,Arenoso,Baja,22.99,Óptima,Óptima,Óptima,Óptima,No óptimo,Baja,4,Bueno
4306,Nariño,Planta Tropical,Cacao,29.9,69.5,3.2,5.68,Arenoso,Media,43.3,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
4307,Bolívar,Hortaliza,Tomate,22.5,55.8,9.1,6.93,Arcilloso,Media,73.76,Óptima,Óptima,Óptima,Óptima,No óptimo,Óptima,5,Excelente
4308,Cundinamarca,Hortaliza,Pimentón,33.3,54.6,13.0,5.52,Limoso,Media,22.23,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Malo
4309,Boyacá,Hortaliza,Tomate,26.8,86.8,9.0,5.82,Franco-Arcilloso,Media,62.94,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
4310,Magdalena,Hortaliza,Cebolla,10.3,67.1,9.7,5.57,Franco,Alta,36.2,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
4311,Nariño,Planta Tropical,Caña de azúcar,20.2,78.4,7.3,6.9,Arenoso,Alta,14.63,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
4312,Córdoba,Cultivo Agrícola,Frijol,15.8,74.4,10.7,6.08,Limoso,Baja,11.88,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
4313,Córdoba,Cultivo Agrícola,Trigo,19.4,40.2,8.0,7.26,Franco-Arcilloso,Media,50.83,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
4314,Cesar,Hortaliza,Lechuga,8.1,62.0,5.4,6.83,Limoso,Alta,60.85,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
4315,Cundinamarca,Planta Tropical,Plátano,21.9,81.5,11.7,7.28,Arenoso,Baja,9.41,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Baja,1,Malo
4316,Huila,Planta Tropical,Cacao,30.8,70.0,3.9,4.97,Franco-Arcilloso,Baja,14.19,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Baja,2,Malo
4317,Nariño,Cultivo Agrícola,Maíz,25.7,45.2,9.5,5.85,Arcilloso,Baja,39.71,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Baja,3,Regular
4318,Santander,Hortaliza,Pimentón,26.4,63.1,13.6,6.04,Limoso,Media,63.84,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
4319,Nariño,Hortaliza,Cebolla,29.9,51.9,5.8,7.41,Arenoso,Media,44.58,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
4320,Nariño,Hortaliza,Zanahoria,13.7,88.6,6.5,6.09,Franco,Alta,10.56,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
4321,Valle del Cauca,Cultivo Agrícola,Sorgo,34.4,74.7,8.4,7.09,Arcilloso,Alta,28.82,Óptima,Óptima,Óptima,Óptima,No óptimo,Óptima,5,Excelente
4322,Meta,Cultivo Agrícola,Arroz,37.2,75.0,9.0,6.46,Arenoso,Baja,41.93,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Baja,3,Regular
4323,Cundinamarca,Hortaliza,Tomate,30.2,64.0,7.4,5.88,Franco-Arcilloso,Baja,23.24,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Bueno
4324,Antioquia,Cultivo Agrícola,Papa,5.1,90.2,8.7,5.77,Franco,Media,41.84,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Regular
4325,Magdalena,Planta Tropical,Cacao,36.0,86.3,9.6,5.34,Arenoso,Media,37.7,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
4326,Sucre,Hortaliza,Pimentón,25.7,69.6,5.4,6.65,Limoso,Media,46.36,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Bueno
4327,Cauca,Planta Tropical,Caña de azúcar,26.8,88.6,13.3,7.67,Franco-Arcilloso,Media,21.03,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
4328,Huila,Planta Tropical,Caña de azúcar,24.0,78.7,9.5,7.13,Limoso,Baja,13.99,Óptima,Óptima,Óptima,Óptima,Óptima,Baja,5,Excelente
4329,Nariño,Hortaliza,Cebolla,9.3,74.9,6.9,7.2,Franco,Baja,24.49,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
4330,Sucre,Cultivo Agrícola,Papa,4.9,77.4,4.9,5.32,Franco-Arcilloso,Baja,8.59,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
4331,Magdalena,Cultivo Agrícola,Papa,15.3,84.7,9.8,6.23,Franco-Arcilloso,Alta,41.42,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
4332,Huila,Cultivo Agrícola,Sorgo,23.0,39.4,12.2,5.2,Limoso,Alta,11.24,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Malo
4333,Nariño,Hortaliza,Cebolla,16.9,56.6,5.6,7.33,Franco-Arcilloso,Media,66.52,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Bueno
4334,Córdoba,Cultivo Agrícola,Sorgo,20.9,79.3,9.1,5.39,Franco,Media,38.27,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,3,Regular
4335,Santander,Cultivo Agrícola,Maíz,18.2,47.2,4.8,6.13,Arcilloso,Baja,6.58,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,1,Malo
4336,Cauca,Hortaliza,Tomate,24.1,73.3,6.4,5.82,Franco,Media,11.89,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
4337,Boyacá,Cultivo Agrícola,Sorgo,23.8,40.8,11.6,6.67,Arenoso,Baja,26.72,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Baja,2,Malo
4338,Santander,Hortaliza,Lechuga,18.4,67.2,4.1,5.57,Franco,Alta,38.97,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
4339,Cauca,Planta Tropical,Yuca,32.6,36.1,6.1,6.6,Arcilloso,Baja,9.59,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,2,Malo
4340,Boyacá,Hortaliza,Pimentón,13.9,89.3,11.9,5.51,Limoso,Media,11.22,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Malo
4341,Huila,Planta Tropical,Plátano,35.3,85.2,8.1,5.09,Franco,Baja,32.57,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Baja,3,Regular
4342,Huila,Hortaliza,Tomate,15.8,65.0,12.0,6.11,Arcilloso,Media,53.65,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
4343,Cauca,Cultivo Agrícola,Arroz,33.0,84.1,4.4,6.72,Franco,Media,55.47,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
4344,Huila,Cultivo Agrícola,Sorgo,30.1,61.6,14.0,5.42,Arcilloso,Media,13.59,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
4345,Antioquia,Cultivo Agrícola,Trigo,13.1,48.9,10.0,5.63,Franco,Media,45.84,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Excelente
4346,Cauca,Planta Tropical,Caña de azúcar,30.7,81.0,13.7,7.26,Arcilloso,Media,41.51,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
4347,Córdoba,Cultivo Agrícola,Sorgo,39.9,28.9,5.3,5.53,Arenoso,Media,27.6,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Malo
4348,Magdalena,Cultivo Agrícola,Frijol,27.4,68.3,10.9,5.97,Arcilloso,Alta,19.87,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Malo
4349,Córdoba,Planta Tropical,Caña de azúcar,17.6,47.2,6.2,6.74,Franco-Arcilloso,Alta,9.95,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
4350,Cundinamarca,Hortaliza,Zanahoria,14.3,86.6,6.1,7.18,Franco-Arcilloso,Baja,30.48,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Baja,2,Malo
4351,Magdalena,Planta Tropical,Cacao,28.6,98.6,8.9,5.99,Arcilloso,Media,31.33,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
4352,Sucre,Hortaliza,Pepino,35.3,74.1,5.9,6.43,Arcilloso,Baja,4.97,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Baja,2,Malo
4353,Santander,Hortaliza,Pimentón,14.6,67.0,6.0,6.3,Franco,Alta,48.52,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
4354,Sucre,Planta Tropical,Cacao,20.7,85.6,9.2,6.76,Arenoso,Media,44.94,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
4355,Cauca,Planta Tropical,Café,15.0,85.6,4.6,6.99,Franco,Baja,7.07,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Baja,2,Malo
4356,Cauca,Cultivo Agrícola,Sorgo,24.8,42.7,5.4,5.74,Arcilloso,Alta,7.88,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Regular
4357,Tolima,Planta Tropical,Cacao,16.9,62.5,6.8,6.04,Arcilloso,Media,32.91,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
4358,Nariño,Cultivo Agrícola,Frijol,15.7,44.0,8.0,5.6,Franco-Arcilloso,Alta,32.55,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,3,Regular
4359,Cesar,Hortaliza,Pimentón,19.5,81.2,5.9,5.86,Arcilloso,Alta,18.03,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
4360,Tolima,Cultivo Agrícola,Papa,7.9,87.7,10.4,4.83,Arenoso,Media,32.23,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Regular
4361,Meta,Cultivo Agrícola,Papa,23.0,67.3,12.1,4.55,Franco-Arcilloso,Alta,18.64,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
4362,Meta,Planta Tropical,Yuca,16.3,36.4,5.5,6.28,Limoso,Baja,5.99,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
4363,Santander,Hortaliza,Cebolla,22.9,45.3,11.4,5.71,Franco,Media,26.57,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
4364,Cundinamarca,Planta Tropical,Café,15.4,66.8,2.7,5.61,Franco-Arcilloso,Baja,37.29,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
4365,Boyacá,Planta Tropical,Cacao,18.1,89.3,8.3,7.01,Franco,Alta,25.03,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
4366,Cauca,Cultivo Agrícola,Trigo,29.2,79.8,8.2,6.42,Arenoso,Alta,28.16,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
4367,Cauca,Planta Tropical,Caña de azúcar,22.9,87.1,5.9,5.78,Arcilloso,Media,59.32,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
4368,Boyacá,Hortaliza,Pepino,20.8,89.2,8.6,6.74,Franco-Arcilloso,Media,51.22,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Bueno
4369,Tolima,Planta Tropical,Plátano,21.2,86.1,12.9,5.68,Limoso,Baja,17.8,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
4370,Santander,Planta Tropical,Cacao,30.2,94.5,5.7,5.2,Limoso,Alta,32.89,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Regular
4371,Meta,Hortaliza,Tomate,25.2,45.2,12.7,5.12,Arcilloso,Media,16.2,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
4372,Nariño,Hortaliza,Pimentón,21.0,74.9,12.7,7.9,Arcilloso,Media,26.78,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
4373,Córdoba,Cultivo Agrícola,Arroz,39.0,88.4,5.7,4.8,Franco-Arcilloso,Media,17.58,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
4374,Antioquia,Planta Tropical,Café,16.0,64.6,6.2,6.51,Arcilloso,Media,31.57,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,2,Malo
4375,Sucre,Cultivo Agrícola,Frijol,32.3,83.8,7.9,7.5,Arenoso,Baja,11.78,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Baja,2,Malo
4376,Cauca,Cultivo Agrícola,Sorgo,26.1,33.6,10.0,6.88,Franco-Arcilloso,Media,54.28,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
4377,Tolima,Hortaliza,Pepino,19.6,60.5,5.1,7.26,Franco,Alta,28.14,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
4378,Antioquia,Cultivo Agrícola,Maíz,17.5,60.9,6.7,6.08,Franco,Baja,21.41,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Regular
4379,Bolívar,Planta Tropical,Palma,32.4,92.4,6.8,5.71,Franco,Baja,27.2,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,3,Malo
4380,Antioquia,Hortaliza,Pepino,19.8,67.9,12.1,7.13,Arcilloso,Media,19.64,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
4381,Nariño,Cultivo Agrícola,Arroz,25.3,84.0,9.9,6.13,Arcilloso,Alta,33.85,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
4382,Nariño,Planta Tropical,Plátano,28.8,81.6,6.0,5.29,Franco,Baja,16.56,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Baja,4,Bueno
4383,Valle del Cauca,Planta Tropical,Plátano,32.1,94.9,9.2,6.03,Franco,Media,44.14,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
4384,Tolima,Hortaliza,Pimentón,17.7,65.3,8.5,7.1,Limoso,Alta,56.9,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Bueno
4385,Huila,Cultivo Agrícola,Trigo,9.7,39.2,12.2,7.26,Franco,Baja,3.1,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
4386,Huila,Hortaliza,Zanahoria,30.4,42.1,5.4,6.91,Franco,Media,29.69,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
4387,Magdalena,Planta Tropical,Yuca,38.4,73.1,8.2,6.91,Limoso,Baja,22.31,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Regular
4388,Bolívar,Cultivo Agrícola,Sorgo,27.4,64.9,7.5,7.51,Franco-Arcilloso,Alta,55.57,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Excelente
4389,Nariño,Hortaliza,Pepino,29.7,88.7,9.6,5.58,Arenoso,Alta,43.98,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,4,Bueno
4390,Santander,Hortaliza,Lechuga,26.1,41.2,7.7,6.96,Limoso,Media,51.14,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
4391,Huila,Hortaliza,Lechuga,11.8,77.7,6.1,6.9,Franco,Baja,39.92,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
4392,Antioquia,Hortaliza,Tomate,22.6,70.1,13.4,5.51,Arcilloso,Media,16.45,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
4393,Bolívar,Planta Tropical,Caña de azúcar,22.4,67.9,8.7,7.6,Arenoso,Media,17.24,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Regular
4394,Córdoba,Hortaliza,Pepino,16.8,93.7,5.2,5.3,Arcilloso,Baja,2.49,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Baja,0,Malo
4395,Magdalena,Hortaliza,Pepino,27.2,92.1,9.9,5.71,Limoso,Media,41.85,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
4396,Meta,Hortaliza,Pepino,35.1,70.6,5.1,5.95,Arenoso,Baja,21.2,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Baja,2,Regular
4397,Bolívar,Hortaliza,Zanahoria,12.3,70.0,6.8,6.58,Franco-Arcilloso,Alta,41.79,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
4398,Nariño,Planta Tropical,Caña de azúcar,26.6,45.2,13.4,5.04,Franco,Media,19.84,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
4399,Tolima,Cultivo Agrícola,Papa,23.1,57.5,10.7,5.13,Franco-Arcilloso,Baja,23.89,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
4400,Bolívar,Cultivo Agrícola,Sorgo,28.7,62.5,12.8,5.01,Franco-Arcilloso,Alta,11.86,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
4401,Valle del Cauca,Hortaliza,Pimentón,24.9,74.5,5.3,6.78,Arenoso,Baja,34.68,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Baja,3,Regular
4402,Valle del Cauca,Planta Tropical,Palma,31.2,58.5,10.3,6.22,Arenoso,Media,49.08,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,4,Bueno
